,title,date,company,location,salary,description
249,Enterprise Data Services Data Engineer,10d ago,Healthdirect Australia,Sydney,,We are a data driven enterprise seeking a talented engineer to help evolve our monitoring and data quality management capability.
250,Senior Data Engineer,13d ago,SustainAbility Consulting,Brisbane,"Salary: $120,000 - $150,000","Looking for a passionate Senior Data Engineer to join the successful, tech driven team who are working with the latest tech and data science platforms"
251,Data Engineer,10d ago,Talenza,Sydney,Salary: $150k - $165k p.a.,"Top tier FS Institute require a Cloud Data Engineer will play a pivotal role in ensuring integrity, governance and maintenance of database systems."
252,Data Engineer,11d ago,Verse Group,Perth,,Work on a variety of projects that will give you the chance to keep your skills up to date.
253,Technical / Data Consultant,6d ago,Solentive Systems,Sydney,"Salary: $130,000 - $159,999","Work on innovative projects that will grow your skill set, enable you to solve unique problems, and create software that drives positive change!"
254,Corporate Data and Analytics Leader,3d ago,SEEK Limited,Melbourne,,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
255,Data Operations Engineer,8d ago,Cleanaway Operations Pty Ltd,Melbourne,Salary: A leader in sustainability and renewable resources,ASX100 iconic brand in its Data & Analytics journey. Play a significant role in setting up data infrastructure and implementing analytics solutions.
256,Research Scientist - Image Analytics,14d ago,CSL Limited,Melbourne,,"Shape project goals to determine appropriate data generation, processing, and analysis strategies."
257,Senior Data Engineer / Data Architect,3d ago,Anson McCade Ltd,Sydney,Salary: Highly Competitive,"Exciting asset management start-up commercialising deeply researched Big Data, AI platform seeking a Senior Data Engineer / Data Architect"
258,Senior Data Scientist - Part Time,18d ago,GRIT Talent Consulting,ACT,,"Work 3 days per week or a Federal Government Department, Work from across Australia - no need to relocate!"
259,Manager - Analytics & AI,7d ago,Opus Recruitment Solutions,Melbourne,"Salary: $150000 - $175000 per annum, Forefront of Inno",Hands on Manager role working on cutting edge technologies in Analytics and AI
260,Senior Data Analytics Engineer - Dolby.io,6d ago,DOLBY AUSTRALIA PTY LIMITED,Sydney,,Lead the definition and execution of our data analysis test strategy which will reshape our understanding of the media performance on our platform
261,AI & Data Automation Engineer,3d ago,HCF Australia,Sydney,Salary: Competitive Salary,An excelled opportunity for a solutions driven Data Automation Engineer.
262,Manager - Analytics & AI,7d ago,Opus Recruitment Solutions,Melbourne,"Salary: $150000 - $175000 per annum, Benefits: Forefront o","Manager, Analytics & AI      Hands-on leadership role working on cutting edge Analytics & AI technologies  Established working"
263,Senior Data Engineer,4d ago,Paxus,Melbourne,,Work as a Senior Data Engineer with an established consulting firm for a leading employment service organisation in Melbourne.
264,Data Engineer (Azure),3d ago,Humanised Group,Sydney,Salary: $750 - $1000 per day inc. super,An Australian-wide business in the financial sector is seeking to hire a Azure Data Engineer on a short term contract.
265,Lead Data Engineer,7d ago,Department of Transport,Melbourne,,"The Department of Transport brings together all transport modes to design, plan, build and operate Victoria's transport system. Our job is to furth..."
266,Lead Data Engineer,7d ago,Department of Transport,Melbourne,,"The Department of Transport brings together all transport modes to design, plan, build and operate Victoria's transport system. Our job is to furth..."
267,Senior Data Engineer,6d ago,Hays Technology,ACT,,Senior Data Engineer opportunity within a Government Department for an initial 12-month contract.
268,Chief Engineer Signature Analysis and Ranges,,Department of Defence,Sydney,"Salary: $123,159 to $147,828 (Plus Superannuation)",Maritime Warfare Centre engineers use innovative analytic techniques to improving lethality and minimise vulnerabilities of our maritime platforms
269,Data Quality Analyst,,SEEK Limited,Melbourne,Salary: Base + Super + Bonus,Data Quality Analyst responsible for driving improvements in the quality of our data and helping to deliver better outcomes for our customers
270,Data Engineer (Analytics & Insights),15d ago,The Recruitment Company,Sydney,Salary: Fantastic culture and career growth opportunities,Driven Data Engineer needed to join our growing analytics team - focusing on both integration and driving forward our Data Science/ ML capability.
271,Machine Learning Developer,14d ago,Intelligen Pty Ltd,Sydney,Salary: WFH flexibility,"Opportunity to continually learn, grow and develop from an incredible team! 
WFH flexibility
One of the largest data sets in the APAC region!"
272,Global Presales Consultant – Data Analytics,10d ago,Opus Recruitment Solutions,London,"Salary: Â£80000 - Â£100000 per annum, Benefits: Bonus,",Global Presales Consultant – Data Analytics   London   £100k Plus Bonus of upto £20k   My client is a global specialist in data
273,Data Engineer (s),10d ago,StepChange Consultants Pty Ltd,Perth,,"Data Engineer - Developing fundamental data ingestion, security, warehousing, and monitoring features as part of a Snowflake Platform Team."
274,Azure Data Engineer,3d ago,Troocoo,Melbourne,,Permanent opportunity for Azure Data Engineer to join our passionate Data & Analytics team in Melbourne.
275,Data Engineer,13d ago,Lachlan Dickson Consulting Pty Ltd,"Newcastle, Maitland & Hunter","Salary: $75,000 - $110,000 + super","You will be part of a small, flexible consulting company working directly with clients in the rail industry on the design of data pipelines."
276,Senior Data Engineer,6d ago,Morgan McKinley,Sydney,Salary: $150k - $180k p.a. + Package,We're on the look out for a highly skilled and experienced Senior Data Engineer to join this amazing team in this time of growth!
277,Senior Data Engineer,12d ago,u&u. Recruitment Partners,Sydney,"Salary: $145,000 - $155,000 + Super + 15% bonus",A great opportunity to work for a global business as the main data representative for Australia. Work from home options available.
278,Data Engineer,10d ago,Blackmores,Sydney,,"Permanent role, support the design and implementation of data pipelines. Using the latest technology and programs, empower business user through data"
279,Data Engineer - Azure Platform,6d ago,Paxus,Melbourne,Salary: $1k - $1050 p.d.,Top performed ASX listed institution in Financial services industry seeking seasoned Data Engineers to join the team on cloud-based projects.
280,Principal Data Engineer,11d ago,Department of Customer Service,Sydney,,Principal Data Engineer who will provide technical leadership to deliver expert advice & services in the design & implementation data products.
281,Data Operations Engineer,3d ago,Department of Customer Service,Sydney,Salary: $99431 - $110064 p.a. + plus Superannuation,Permanent Opportunity where you will provide sustainable data products and data related services to support the DAC.
282,Data Engineer,11d ago,Robert Walters,Melbourne,Salary: $700 - $800 p.d.,Great opportunity for a Data Engineer looking to enhance their skill sets within the utilities industry.
283,Data Engineer,13d ago,Wood.,Brisbane,,"Be part of the change toward a sustainable future.  Create, maintain the analytics infrastructure in the permanent role in Brisbane.  Open to Grads!"
284,Data Engineer,12d ago,Silver Chain,Adelaide,,"Seeking Data Engineer with contemporary skills in Azure Data Services, as well as an understanding of on premise SQL Server data warehousing"
285,Analytics Engineer,7d ago,The Onset,Sydney,Salary: $120k-130k + Super,Build analytics capabilities in a start up environment for a distinguished retailer.
286,Big Data Engineer,12d ago,Servian Pty Ltd,Sydney,,We’re seeking talented technologists with a background in big data
287,Geoinformatics Statistician,,Downforce Technologies Ltd,Adelaide,,We are a rapidly scaling global climate startup with a world class team looking for an outstanding Geoinformatics Statistician
288,Senior Data Engineer,,Talentpool Recruitment Group,Sydney,Salary: $180k + Super & Bonus,Join a global finance organisation who are about to embark on a huge transformation - be a lead Engineer and help with strategy and road map design
289,Senior Data Engineer,,Talentpool Recruitment Group,Sydney,Salary: $180k + Super & Bonus,Join a global finance organisation who are about to embark on a huge transformation - be a lead Engineer and help with strategy and road map design
290,Senior Data Engineer,,Talentpool Recruitment Group,Sydney,Salary: $180k + Super & Bonus,Join a global finance organisation who are about to embark on a huge transformation - be a lead Engineer and help with strategy and road map design
291,Senior Data Engineer,,Talentpool Recruitment Group,Sydney,Salary: $180k + Super & Bonus,Join a global finance organisation who are about to embark on a huge transformation - be a lead Engineer and help with strategy and road map design
292,Senior Machine Learning Engineer,19d ago,Provectus Algae Pty Ltd,Sunshine Coast,,"Be part of our ground breaking viable, scalable and sustainable product development and biomanufacturing platform."
293,Data Engineer,10d ago,Fortescue Metals Group Ltd,"Port Hedland, Karratha & Pilbara",,"Fortescue is seeking a Data Engineer for our new magnetite project, Iron Bridge."
294,Data Engineer,12d ago,Silver Chain,Perth,,"Seeking Data Engineer with contemporary skills in Azure Data Services, as well as an understanding of on premise SQL Server data warehousing"
295,Machine Learning Data Engineer,21d ago,Precision Sourcing,Sydney,Salary: $115k - $150k p.a. + + Super,"Work on cutting edge data engineering projects being supported by other engineers and data scientists, cloud based projects"
296,Data Engineer,18d ago,Talent – SEEK Recruitment Agency of the Year | 7 Time Winner,Brisbane,Salary: $950 - $1050 per day,"Our client, a Queensland State Government Department, is executing a multi-year Accelerating Science Delivery Innovation (ASDI) program delivered"
297,"Lead, Data Sciences",12d ago,IAG,Sydney,Salary: $neg + 13% Super and STI,Really exciting and unique opportunity to work in a start-up environment within a large organisation
298,Data Engineer,13d ago,Paxus,Melbourne,,Work as a Data Engineer with an established consulting firm for a leading telecommunication organisation in Melbourne.
299,Informatica Data Engineer - Finance,11d ago,The Recruitment Company,Sydney,Salary: WFH anywhere in Australia - Long Term contract,Australian Insurance client seeks an experienced Informatica Data Engineer for a 12 month contract with a view to extend.
300,Senior Data Engineer,6d ago,Talent – SEEK Recruitment Agency of the Year | 7 Time Winner,Melbourne,Salary: Competitive,Brilliant opportunity for a Senior Data Engineer to work on a major project within an iconic Australian organisation.
301,Lecturer in Data Analytics and Visualisation,14d ago,University of New South Wales,ACT,,The School of Business at UNSW Canberra are seeking a Lecturer in Data Analysis and Visualisation.
302,Lecturer in Data Analytics and Visualisation,14d ago,University of New South Wales,ACT,,The School of Business at UNSW Canberra are seeking a Lecturer in Data Analysis and Visualisation.
303,Senior Data Engineer,6d ago,Australian Institute of Marine Science,Northern QLD,"Salary: $107,820 - $118,200 per annum",Work within a high skilled and diverse project team to deliver next generation world-class research data management solutions.
304,Senior Data Engineer,6d ago,Australian Institute of Marine Science,Northern QLD,"Salary: $107,820 - $118,200 per annum",Work within a high skilled and diverse project team to deliver next generation world-class research data management solutions.
305,Data Manager,6d ago,Garvan Institute of Medical Research,Melbourne,"Salary: $102,000 - $112,000","Join a collaborative team including other analysis and methods development staff, software engineers, project managers, communities and specialists!"
306,Data Scientist/BI Analyst,27d ago,World Vision,Melbourne,,"The role is designed to help WVA to discover, interpret and communicate the information hidden in structured and unstructured data sets."
307,Fraud Analytics Manager,6d ago,IAG,Sydney,Salary: $neg + 13% Super and STI,Uplift fraud detection capability and therefore improve and add value to customer experience using innovation and detailes understanding.
308,Data Engineer,12d ago,FIRESOFT Consulting,Sydney,,Our Financial Services Client are looking for a Data Engineer to expand and enhance their Enterprise Data Warehouse.
309,Data Engineer,12d ago,Alloc8,Melbourne,,Data Enginering team required for large on-prem to cloud migration.
310,Data Scientist,27d ago,Attribute Group,Sydney,,"An Australian leading online business are expanding their data team, working with next generation technologies"
311,Senior Data Engineer,6d ago,Easy Authoring Pty Ltd,Sydney,,Easy Authoring is urgently seeking an experienced Senior Data Engineer to work within a large state Government department based in Sydney's CBD.
312,Senior Engineer (Knowledge Graph),,SEEK Limited,Melbourne,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
313,Senior Engineer (Knowledge Graph),,SEEK Limited,Melbourne,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
314,Azure Data Engineer,6d ago,Aurec,Melbourne,Salary: Great Daily Rate,This large scale utility organisation is looking for an Cloud Data Engineer to support the data manipulation and pipeline for a 6 month contract.
315,Junior Data Engineer | $90K + super | Financial Services,20d ago,Robert Half,Melbourne,Salary: $90k - $95k p.a. + Super,Exciting opportunity for an Junior Data Engineer to join a financial services paying a very competitive salary.
316,Big Data Engineer - Preferred Mandarin Speaking Preferred,11d ago,Auspacific Property Investment Pty Ltd,Melbourne,,We are Looking For an experienced big data engineer.
317,Senior Data Scientist,25d ago,Wesfarmers,Melbourne,,"Our talented and agile team of data scientists, engineers and analytics leads co-create and solve complex problems."
318,Senior Azure Data Engineer,3d ago,TEKsystems,Sydney,,A great opportunity has become available with one of our High-Profile Government clients to partake in a large project of work
319,Big Data Engineer,10d ago,Opal Consulting Group PTY LTD,Sydney,"Salary: Up to $180,000 Base + Super + Bonus",A leading bank is in need of an experienced Big Data Engineer to join the Sydney team.
320,Principal Machine Learning Engineer,21d ago,Suncorp,Sydney,,Leading role in designing and delivering technically difficult Data Science and AI initiatives that produce significant business value.
321,Data Engineer - Azure Platforms,7d ago,Paxus,Sydney,,Looking to start the new year with a new Data Engineer role? Large Australian Bank needs 2 Data Engineers working on their Azure platform. 6 months +
322,Data Platforms Experience Engineer,10d ago,Xero,Melbourne,Salary: Competitive salary + company shares,"Help develop the Data Platform features, environments and services with a focus on implementing an engaging and low friction experience for users."
323,Data Engineer,19d ago,Require Resources,Brisbane,Salary: $130.88 incl super per hour,"The ASDI ""Data Improvements and Machine Learning"" project is improving the findability, accessibility, interoperability, and reusability of data."
324,Data Engineering Lead,4d ago,Woolworths Group,Sydney,,Data Engineering Lead role at Woolworths Group
325,Big Data Spark Engineer,3d ago,Peoplebank Australia VIC,Melbourne,,An initial 6 month contract to work into a large defence project.
326,Data Platforms Experience Engineer,10d ago,Xero,Sydney,Salary: Competitive salary + company shares,"Help develop the Data Platform features, environments and services with a focus on implementing an engaging and low friction experience for users."
327,Data Engineer,10d ago,Gilmore Resources,Brisbane,,"Source, integrate and make data available for use by business intelligence analyst, data scientists and other data users."
328,Senior Data Engineer,6d ago,Paxus,Sydney,Salary: $700 - $1k p.d.,Opportunity to work within a large complex environment with multiple initiatives.
329,Data Engineer (Managed SRE),12d ago,Servian Pty Ltd,Sydney,,We’re seeking talented technologists with a background in data engineering / DataOps
330,Data Engineering Manager - Brisbane - $160-200K pack,14d ago,Talenza,Brisbane,Salary: $160k - $180k p.a. + Super + Bonus,Data Engineering manager for leadership role with dynamic and technology focused group
331,Big Data Consultant - Graduate Program,11d ago,FDM Group Australia Pty Ltd.,Melbourne,"Salary: $55,000 - $59,999","The demand for Big Data Engineers has never been higher, don't have the relevant degree? Don't worry, FDM will train you from scratch!"
332,Senior Azure Data Engineer,6d ago,South East Water,Mornington Peninsula & Bass Coast,,"Seeking an experienced Senior Azure Data Engineer to help SEW's transformation to being a data driven, digital utility!"
333,Data Engineer,13d ago,Compas Pty Ltd,ACT,,Compas is seeking a Data Engineer to join a Federal Government Department for a long-term engagement.
334,Senior Ecological Consultant,,Narla Environmental,Sydney,"Salary: $90,000 - $109,999",The Narla Environmental Sydney office is currently seeking a passionate Environmental Consultant or Ecological Consultant to join our amazing team.
335,Hadoop Developer,,Opal Consulting Group PTY LTD,Melbourne,"Salary: Up to $180,000 Base + Super + Company Shares",Global ASX Tech company is actively growing across a number of divisions. They are currently looking for an experienced Hadoop Developer.
336,Assistant Director - Data Analytics,10d ago,"Chief Minister, Treasury and Economic Development",ACT,"Salary: $113,397 - $122,062","As the Assistant Director - Data Analytics, you will lead the ACT Data Analytics Centre’s creation of modern data products."
337,Assistant Director - Data Analytics,10d ago,"Chief Minister, Treasury and Economic Development",ACT,"Salary: $113,397 - $122,062","As the Assistant Director - Data Analytics, you will lead the ACT Data Analytics Centre’s creation of modern data products."
338,Senior Data Engineer,11d ago,Department of Customer Service,Sydney,,"As the Senior Data Engineer, you are accountable for the technical delivery of platform &/or business projects to build & support data management."
339,Senior Data Scientist,25d ago,Toyota Finance Australia,Sydney,,Toyota Finance Australia has an opportunity for an experienced Senior Data Scientist join our department.
340,Data Engineer,13d ago,Professional Search Group,Perth,,We have a permanent and contract opportunity for an experienced Data Engineer! Enjoy WFH options and a great work culture!
341,Data Engineer / Senior Data Engineer,13d ago,Elula,Sydney,,Join a fast paced artificial intelligence and machine learning start up. We provide our clients with game changing software as a service.
342,Machine Learning Engineer/Developer - $130k to $150k + bonus + super,20d ago,Correlate Resources,Sydney,"Salary: $150,000 + Bonus + Super",Exciting opportunity for machine learning professionals to work on cutting edge projects
343,Data Engineer,17d ago,New Aim Pty Ltd,Melbourne,,A great opportunity for passionate Data Engineer to join a fast growing E-commerce company with lots of opportunity to grow!!!
344,Data Engineer,14d ago,Tech Mahindra Limited,Sydney,,Hiring Data Engineers!
345,Data Developer,3d ago,CoreLogic,Sydney,,We are looking for a Data Developer to work on some of the most sophisticated tech stack at CoreLogic.
346,Big Data Engineer | DWH Tech BA & Data Designer Multiple role,11d ago,Mielin Enterprise Pty Ltd,Sydney,,"MULTIPLE ROLE - BIGDATA Engineer, & TECH BA for household brand name in SYDNEY"
347,Data Architect/Data Engineer,6d ago,Valrose,Perth,,"Work for a leading, global consultancy firm that combines technology and business intelligence to create the future."
348,Research Scientist in Human-Centred Computer Vision,7d ago,CSIRO,Brisbane,Salary: $103-$111k base pay + up to 15.4% superannuation,Join a multidisciplinary team accessing unique datasets with state-of-the-art HPC to solve real world problems.
349,Research Scientist in Human-Centred Computer Vision,7d ago,CSIRO,Brisbane,Salary: $103-$111k base pay + up to 15.4% superannuation,Join a multidisciplinary team accessing unique datasets with state-of-the-art HPC to solve real world problems.
350,Mathematical Modeller - Public Health,1h ago,Burnet Institute,Melbourne,Salary: $74k - $82k + super per annum,An exciting chance to undertake real-world mathematical modelling projects in infectious diseases and global health.
351,Data Engineer - Fintech,14d ago,MCS Consulting,Sydney,Salary: $98k to $142k package + bonuses,Leading Financial Services Institution. Newly established in-house Data Group that's building up its pipelines & infrastructure.
352,Data Visualisation Artist,14d ago,Acquire Insights,Brisbane,,"Do you live for building interactive, beautiful and insightful data visualisations & models?"
353,Permanent - AWS Data Engineer,13d ago,PRA,Melbourne,Salary: $140k-$154k Package,New AWS Data Engineer role for exciting Non-for profit organisation in the Sports sector
354,IT Recruitment Consultant - Data & AI,4d ago,Verse Group,Perth,,Make your first or next step into Recruitment within our Data & AI team working with the future!
355,Principal Data Modelling Engineer,12d ago,Cognizant Technology Solutions Australia Pty Ltd,Perth,,Join Cognizant as a Principal Data Modelling Engineer; collaborate with our experienced Engineering teams on exciting client projects!
356,"Consultant - Data, Analytics and Machine Learning.",20d ago,Alloc8,Sydney,,"Latest tech, great support, large / challenging Data related programmes and a great team!"
357,Senior Engineer (Knowledge Graph),,SEEK Limited,Sydney,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
358,Senior Data Engineer,6d ago,Opus Recruitment Solutions,Sydney,Salary: $130000 - $150000 per annum,SENIOR DATA ENGINEER | OPPORTUNITY TO WORK WITH AWS STACK | CAREER PROGRESSION | HANDS ON EMERGING CLOUD SOFTWARE |
359,Data Solutions Engineer,3d ago,Henry Schein,Sydney,,"Bring your experience in designing and implementing enhancements in the business intelligence, machine learning and CRM fields."
360,Analytics Engineer,10d ago,Cartology,Sydney,,Cartology is the newest feather in the Woolworths Group's hat and we are looking for a Data Engineer to join us for this newly created role!
361,Machine Learning Engineer (Software Development Background),20d ago,Correlate Resources,Sydney,"Salary: $150,000 to $170,000 + bonus + super",Exciting opportunity for machine learning professionals to work on cutting edge projects
362,Data Engineer - SSIS/Azure,12d ago,Alloc8,Adelaide,,Data Engineering team required for large on-prem to cloud migrations!
363,Snr Data Engineer - AWS/SQL,11d ago,Opus Recruitment Solutions,Melbourne,"Salary: $150000 - $165000 per annum, Be recognized by",Snr Data Engineer for a Global Tech company - Need key skills in AWS and SQL!
364,Data Engineer III,12d ago,Simplot,Melbourne,Salary: Competitive salary and people benefits,"Exciting newly created role, provide solutions for our Business Partners and help inspire a data-driven culture."
365,Data Engineer,17d ago,Montagu Group Pty LTD,Brisbane,,As a Data Engineer you will play a key role in enriching and supporting the customer experience for this market-disrupting organisation.
366,Senior Data Engineer,10d ago,Pathfinder Recruitment,Sydney,Salary: $800 per day + super,Initial 6 month government contract for a Senior Data Engineer. Sydney location/ WFH.
367,Senior Data Engineer,10d ago,GRANITE CONSULTING,ACT,,Seeking Senior  Data Engineer to work with talented team of Consultants who all have a thirst for exceptional data technology
368,Data Engineer,17d ago,Virgin Australia,Sydney,,We are looking for 2 Data Engineers to join our fast growing team and take one of ‘Australia’s most loved loyalty programs’ to the next level.
369,Senior Data Engineer,10d ago,GRANITE CONSULTING,Melbourne,,Seeking Senior  Data Engineer to work with talented team of Consultants who all have a thirst for exceptional data technology
370,Data & Analytics Services Manager,6d ago,"Catholic Education Office, Diocese of Parramatta",Sydney,,We are seeking a collaborative and dynamic Data & Analytics Services Manager to lead and innovate our Data & Analytics team.
371,Senior Consultant- Data & AI - Melbourne,12d ago,Empired Limited,Melbourne,,"Consult across complex ETL solutions using SSIS, Azure Data Factory or Azure Databricks."
372,Senior Data Engineer / Senior Consultant,11d ago,Humanised Group,Brisbane,,We are working with an international IT consultancy seeking a Senior Consultant / Senior Data Engineer  to join their Brisbane team.
373,Senior Data Analyst/Data Scientist,27d ago,Noble People,Melbourne,Salary: $120 - $140k package pending experience,"With market leading international brands lining up, you'll have a tremendous opportunity to get to the pinnacle of your data career with this team"
374,Data Scientist with Top Fund Manager,27d ago,Coolabah Capital Investments Pty Ltd,Sydney,,A challenging and highly stimulating data science role with a sophisticated fixed income investment management business working with an existing team.
375,Senior Data Engineer,10d ago,GRANITE CONSULTING,Sydney,,Seeking Senior  Data Engineer to work with talented team of Consultants who all have a thirst for exceptional data technology
376,Azure Data Engineer,11d ago,Sirius Technology Sydney part of Sirius People Pty Ltd,Sydney,Salary: Competitive,"Working for one of Australia's leading financial services, join a fast growing Data team as a key Data Engineer. Up to $180,000+Super+Bonus"
377,Data and Analytics Lead,,Boomer Home Loans,Perth,,We need fin-tastic people to join our team.
378,Senior Data Scientist,26d ago,SEEK Limited,Melbourne,Salary: Base + Super + Bonus,Great career growth | work with some of the best Data Scientists in  industry | Multiple high profile and exciting projects across APAC business.
379,Data Engineer (Pyspark requirement),12d ago,Randstad Technologies,Melbourne,Salary: plus super,"Build a data pipeline using Azure data bricks and data factory
Upgrade data frame work."
380,Delivery Data Engineering Manager,6d ago,Robert Walters,Melbourne,Salary: $150k - $165k p.a.,"Amazing opportunity to lead and manage a team of data engineers, looking for someone who is the blend of leadership, management and tech savvy."
381,HealthyLife - Data Engineering Lead,13d ago,Healthy Life,Sydney,,healthylife- Senior Data Engineer
382,Analytics Engineer - Enterprise,7d ago,Attribute Group,Sydney,Salary: $120k-$130k + super + bonus,Contribute to designing and delivering data assets and tooling for internal stakeholders at an enterprise level organisation
383,Spatial Analyst/Programmer - CSIRO Land & Water,3d ago,CSIRO,ACT,,Support delivery of large complex projects as a Spatial Analyst / Programmer
384,Data Engineer,13d ago,Valrose,Perth,,A stand out permanent role with outstanding growth potential working in a small close knit high performing Team
385,Platform Engineer - Data,7d ago,Scentre Group,Sydney,,"With an established cloud-first platform, the Data & Analytics Technology Team is seeking a talented Platforms Engineer – Data"
386,Data Engineer,19d ago,Altis Consulting,Sydney,,Calling all Data Engineers - are you looking for a tech agnostic organisation to work on a true dual role with both consulting and hands-on tasks?
387,Senior Data Engineer - Azure,12d ago,T+O+M Executive,Sydney,Salary: Up to $180K Base + Super + Bonus,Expanding Data & Analytics Team | Continual Investment in Technology & People | Excellent Work / Life Balance
388,Data Engineer,20d ago,INX Software Pty Ltd,Perth,,Join our team to build quality data solutions through your technical expertise!
389,Senior Manager - Data Engineer,13d ago,Bluefin Resources Pty Limited,ACT,Salary: $180k - $200k p.a.,"Senior Manager opportunity with one of the Big Four consultants, benefiting from a flexible work environment with innovative development opportunities"
390,AWS Data Engineer,14d ago,Continuum Recruitment,Perth,,Looking for AWS Data engineers ready to hit the ground running on an exciting greenfield project for a well known Perth company
391,Data Engineer,14d ago,intelia,Melbourne,,intelia consultants enjoy cutting-edge data and cloud projects delivering value to our large enterprise customers across multiple industries
392,Data Engineer - Senior Consultant,14d ago,EY,Melbourne,,"EY DnA  are seeking a Senior Data Engineer to join our practice in either our Canberra, Melbourne, Sydney, Adelaide or Perth offices."
393,Senior Data Engineer,6d ago,Bluefin Resources Pty Limited,Sydney,Salary: $750 - $800 p.d. + Super,Work for a prestigious government enterprise in a high performing team to work with leading ETL & Cloud tools - Talend & AWS
394,AWS Data Engineer,13d ago,Continuum Recruitment,Perth,Salary: Highly competitive salary/rates,We're looking for an exceptional data engineer for an AWS consulting partner to help leading organisations transform their IT operations.
395,Data Engineer,21d ago,Paxus,Adelaide,Salary: Outstanding Package available!,Multiple Data Engineers are required to undertake PERMANENT roles!
396,Azure Data Engineer,12d ago,St Vincent's Health Australia,Sydney,,Opportunity to provide technical expertise and leadership in data analytics and business intelligence across St Vincent's Health Australia.
397,Senior Data Engineer,10d ago,M&T Resources,Sydney,,Senior Data Engineer required to develop and maintain scalable data pipelines and build out new API integrations
398,Research Scientist - Image Analytics,,CSL Limited,Melbourne,,"Shape project goals to determine appropriate data generation, processing, and analysis strategies."
399,Senior Data Engineer - Azure,6d ago,Davidson,Melbourne,Salary: $1k - $1100 p.d.,"Senior Data Engineer - MS Azure data stack - ADLS, Synapse, Hive, SQLDB, Data Factory. Hands-on experience with Azure databricks, CI/CD, DWH, ETL"
400,Research Scientist,2h ago,Seqwater,Brisbane,"Salary: $114,249.91 - $125,160.11 + Super",Deliver & develop research projects for the optimisation of Seqwater’s asset management & service delivery. Contract until Feb 2023 + WFH flexibility.
401,Research Scientist,2h ago,Seqwater,Brisbane,"Salary: $114,249.91 - $125,160.11 + Super",Deliver & develop research projects for the optimisation of Seqwater’s asset management & service delivery. Contract until Feb 2023 + WFH flexibility.
402,Azure Data Engineer,12d ago,St Vincent's Health Australia,Brisbane,,Opportunity to provide technical expertise and leadership in data analytics and business intelligence across St Vincent's Health Australia.
403,Data Services Engineer,19d ago,QBE,Melbourne,,MS Data Engineer - Melbourne/Sydney (open to remote working)
404,Data Engineer - AWS & Python,21d ago,Bluefin Resources Pty Limited,Sydney,Salary: $140k - $170k p.a. + + Equity,Data Engineer opportunity for a market leading Scaleup that provides individuals the opportunity to earn an income through driving.
405,Data & Analytics Technical Consultant (Work From Anywhere!),18d ago,Expose,Brisbane,,Join a company who values & invests in its employees & who is making a substantial mark on the Data and Analytics market nationally.
406,"Data Analyst, Central Analytics Hub",18d ago,Department of the Prime Minister and Cabinet,ACT,"Salary: APS 5 & 6 - $78,450 - $97,520",Our ideal candidate will demonstrate strategic thinking and be able to translate data into meaningful insights and products.
407,Data Warehouse Engineer,4d ago,University of Tasmania,Hobart,,"Support the team in sourcing, transforming, modelling, and exporting a wide range of data."
408,Data Warehouse Engineer,4d ago,University of Tasmania,Hobart,,"Support the team in sourcing, transforming, modelling, and exporting a wide range of data."
409,Azure Data Engineer,12d ago,St Vincent's Health Australia,Melbourne,,Opportunity to provide technical expertise and leadership in data analytics and business intelligence across St Vincent's Health Australia.
410,Senior Data Engineer,11d ago,Launch Recruitment Pty Ltd,Melbourne,"Salary: $102,637 - $124,183",Automate business process & systems | Two-year fixed term contract | Immediate start
411,Big Data / Streaming Engineer,12d ago,Rubix Solutions Pty Ltd,Sydney,,Rubix Solutions have multiple urgent openings for experienced Big Data / Streaming Engineers in the banking domain
412,Azure Data Engineer,14d ago,Peoplebank Australia NSW,Sydney,,Urgently required an experienced Azure Data Engineer. 12 Month Contract - North Sydney Location and Market Rate. APPLY NOW
413,Senior Data Engineer,14d ago,Blackbook.AI,Brisbane,,Join a national AI consulting firm working with clients across a range of fields.
414,Data Engineer,20d ago,Bupa,Melbourne,Salary: Competitive Base + a host of desirable benefits!,"Do you want to work for value driven organisation actually helping people? Bupa - helping people live longer, healthier, happier lives!"
415,Senior Data Engineer,10d ago,DialogIT,Sydney,,Dialog are seeking a Senior Data Engineer to join our company’s technical team to develop and maintain a new data platform.
416,Data Integration Consultant (Dell Boomi),7d ago,Empired Limited,Melbourne,,Empired are seeking a mid level Dell Boomi Data Integration Support Engineer asap.
417,Data Analytics Auditor,8d ago,Yancoal,Sydney,Salary: Get stacks of benefits you actually need!,"Lots of hard work has already been done, now is the time we need you to dive into the data more and get to the good bits!"
418,Spatial Analyst/Programmer - CSIRO Land & Water,3d ago,CSIRO,Melbourne,,Support delivery of large complex projects as a Spatial Analyst / Programmer
